account_id,Sum of awg_engagement_rate,Sum of comment_engagement_rate,create_time,Sum of followers,Sum of following,is_ad_virtual,is_verified,like_count,Sum of like_engagement_rate,Sum of likes,open_favorite,top_videos,timestamp,Sum of videos_count
_nduyn01,0.07244094488188976,0.005264341957255343,null,635,212,false,false,null,0.06717660292463443,2499,null,"https://www.tiktok.com/@_nduyn01/video/7229538225327590658,https://www.tiktok.com/@_nduyn01/video/7198036910428802330,https://www.tiktok.com/@_nduyn01/video/7196670915072019739,https://www.tiktok.com/@_nduyn01/video/7192527795501780250,https://www.tiktok.com/@_nduyn01/video/7191878576378072347,https://www.tiktok.com/@_nduyn01/video/7189992418584857883,https://www.tiktok.com/@_nduyn01/video/7186618502835621147,https://www.tiktok.com/@_nduyn01/video/7180175284405161242,https://www.tiktok.com/@_nduyn01/video/7178334118567054619,https://www.tiktok.com/@_nduyn01/video/7167370992522726682,https://www.tiktok.com/@_nduyn01/video/7162553989907860762,https://www.tiktok.com/@_nduyn01/video/7161405337319345435,https://www.tiktok.com/@_nduyn01/video/7159404198579293467,https://www.tiktok.com/@_nduyn01/video/7158285874264804634,https://www.tiktok.com/@_nduyn01/video/7155315336693239067,https://www.tiktok.com/@_nduyn01/video/7153822166440496411,https://www.tiktok.com/@_nduyn01/video/7148030594394377498,https://www.tiktok.com/@_nduyn01/video/7147292764948958490,https://www.tiktok.com/@_nduyn01/video/7146974013284257050,https://www.tiktok.com/@_nduyn01/video/7136831802852904218,https://www.tiktok.com/@_nduyn01/video/7134346623911562522,https://www.tiktok.com/@_nduyn01/video/7131963840937430299,https://www.tiktok.com/@_nduyn01/video/7131195425146653978,https://www.tiktok.com/@_nduyn01/video/7129692335071350042,https://www.tiktok.com/@_nduyn01/video/7119092586651995419,https://www.tiktok.com/@_nduyn01/video/7116698259103567130,https://www.tiktok.com/@_nduyn01/video/7115048934531288346,https://www.tiktok.com/@_nduyn01/video/7109666951424675098,https://www.tiktok.com/@_nduyn01/video/7092656514925661467,https://www.tiktok.com/@_nduyn01/video/7091868850597252379,https://www.tiktok.com/@_nduyn01/video/7090015143639223578,https://www.tiktok.com/@_nduyn01/video/7088512051483626779,https://www.tiktok.com/@_nduyn01/video/7087395272338214171,https://www.tiktok.com/@_nduyn01/video/7038598377398865153,https://www.tiktok.com/@_nduyn01/video/7033784994959084802",2023-07-30 00:00:00,72
_txkat0ma666_,0.08695652173913045,0.002635046113306983,null,69,575,false,false,null,0.08432147562582346,64,null,"https://www.tiktok.com/@_txkat0ma666_/video/7065354438965349634,https://www.tiktok.com/@_txkat0ma666_/video/7064932798808837378,https://www.tiktok.com/@_txkat0ma666_/video/7063870414425984258,https://www.tiktok.com/@_txkat0ma666_/video/7063864701398060289,https://www.tiktok.com/@_txkat0ma666_/video/7063466623767743746,https://www.tiktok.com/@_txkat0ma666_/video/7062814497819331841,https://www.tiktok.com/@_txkat0ma666_/video/7061752567830760706,https://www.tiktok.com/@_txkat0ma666_/video/7060921356833017090,https://www.tiktok.com/@_txkat0ma666_/video/7060879184314305793,https://www.tiktok.com/@_txkat0ma666_/video/7060878967703670017,https://www.tiktok.com/@_txkat0ma666_/video/7060863529141816577",2023-08-04 00:00:00,11
_v0fee_,0.9696969696969697,0.026515151515151512,null,88,29,false,false,null,0.9431818181818181,622,null,"https://www.tiktok.com/@_v0fee_/video/7152276893423684870,https://www.tiktok.com/@_v0fee_/video/7137404547617574149,https://www.tiktok.com/@_v0fee_/video/7074146847496916229",2023-08-04 00:00:00,3
_v1nc0u,0.48936170212765956,0.01950354609929078,null,188,58,false,false,null,0.4698581560283688,1935,null,"https://www.tiktok.com/@_v1nc0u/video/7193551116771052805,https://www.tiktok.com/@_v1nc0u/video/7193048947563187461,https://www.tiktok.com/@_v1nc0u/video/7160012428057808134",2023-08-04 00:00:00,3
_zgdx_ck_yqcb_,1.3333333333333333,0.16666666666666666,null,6,1,false,false,null,1.1666666666666667,25,null,https://www.tiktok.com/@_zgdx_ck_yqcb_/video/7083324030203202843,2023-08-04 00:00:00,1
"{27.feb.2008}""",0.07835531419705198,,https://www.tiktok.com/@svs894,8600,2,null,,null,,,null,,,
"~🇲🇽""",0.0014124171187462325,,https://www.tiktok.com/@clauluna0,490300,638,null,,null,,,null,,,
"×°you°×""",0.013575421342411634,,https://www.tiktok.com/@xdrugsx_,69300,182,null,,null,,,3,,,
"◎| 𝐈𝐛: 𝐈𝐝𝐤 | ◎""",3.4285714285714284,,https://www.tiktok.com/@qbbirqe,48,2,null,,null,,,null,,,
"☆Avid Folk Punk Enthusiast""",0.03747412290259316,,https://www.tiktok.com/@ecstaticbugs,72000,804,null,,null,,,1,,,
"♉️""",0.06864013803515584,,https://www.tiktok.com/@r0bbb_,1623,33,null,,null,,,null,,,24554628
"♊️""",0.04387905604719764,,https://www.tiktok.com/@oilgig,124,12,null,,null,,,null,,,
"♏️""",0.2750770811921891,,https://www.tiktok.com/@mv_eidts2009,19000,60,null,,null,,,null,,,
"♡︎. 🦢🩰""",0.014025510204081632,,https://www.tiktok.com/@pembekurabiyem,423400,503,null,,null,,,null,,,
"✈︎𝗦𝗼𝗳𝘁 𝗳𝗿𝙪𝙩𝙮""",0.009743589743589746,,https://www.tiktok.com/@w_melii,113,26,null,,null,,,null,,,
"—✿ bebe𓈈""",0.2612031921424186,,https://www.tiktok.com/@awkvoni,2553,18,null,,null,,,null,,,
"❏:: favs.joshy""",3.286666666666667,,https://www.tiktok.com/@favs.joshy,501,5,null,,null,,,null,,,
"❝ 💛 ❞""",0.010756676557863502,,https://www.tiktok.com/@qwadds,2222,2,null,,null,,,null,,,
"❤️❤️🔝🤷""",0.4370748299319728,,https://www.tiktok.com/@7skr.l,2228,60,null,,null,,,null,,,
"❤️KGB❤""",0.07546218487394958,,https://www.tiktok.com/@benlaetikgblnl,3686,265,null,,null,,,null,,,
"❤Married""",0.01501936009781944,,https://www.tiktok.com/@ejah587,1443,71,null,,null,,,3,,,
"❤️🌚My dream is to reach 200""",0.0844110275689223,,https://www.tiktok.com/@w_h90,2879,47,null,,null,,,3,,,
"• شيگولَ غــير الفــــدُوةَ ˛⁽❥₎⇣""",0.16707317073170733,,https://www.tiktok.com/@alikkk32,137,5,null,,null,,,null,,,
"•Vagas encerradas por um tempo•""",0.06741493800317329,,https://www.tiktok.com/@hhouse_death_note,55700,129,null,,null,,,null,,,
"•𝚋𝚞𝚋𝚜 𝚏𝚘𝚛 𝚕𝚒𝚏𝚎•✨""",0.20074349442379183,,https://www.tiktok.com/@k0uvrrr..fanpageee,2549,45,null,,null,,,null,,,
"⚓️𝓸𝓶𝓪𝓷:𝓼𝓪𝓱𝓪𝓶""",0.2777777777777778,,https://www.tiktok.com/@m_q01v,80,4,null,,null,,,1,,,
"0 Of my children safe""",0.3333333333333333,,https://www.tiktok.com/@sxnny.x.fidgets_,1,1,null,,null,,,null,,,
05sf,0.14703925482368596,0.03592814371257485,null,1503,129,false,false,null,0.1111111111111111,2415,null,https://www.tiktok.com/@05sf/video/7257536432401665282,2023-07-26 00:00:00,1
"1/27/22💝💌""",0.8754098360655738,,https://www.tiktok.com/@wqt_.rod1,267,5,null,,null,,,null,,,
